naim;sum_bal;sum_ost;expr1;expr2;expr3;expr4;expr5;expr6;expr7;expr8;expr9;expr10;expr11;expr12;expr13;expr14;expr15;expr16;expr17;expr18;expr19;expr20;expr21;expr22;expr23;expr24;expr25;expr26
Подъезд к г. Чита;39504691,38;4434024,08;4434024,08;211513,46;4222510,62;211513,46;4010997,16;211513,46;3799483,70;211513,46;3587970,24;211513,46;3376456,78;206147,45;3170309,33;142410,49;3027898,84;142410,49;2885488,35;142410,49;2743077,86;142410,49;2600667,37;142410,49;2458256,88;142410,49;2315846,39;142410,49
Подъезд к г. Шилка;273624,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к источнику Алханай;843948628,28;678181244,97;678181244,97;4408163,40;673773081,57;4408163,40;669364918,17;4408163,40;664956754,77;4408163,40;660548591,37;4408163,40;656140427,97;4408163,40;651732264,57;4408163,40;647324101,17;4408163,40;642915937,77;4408163,40;638507774,37;4408163,40;634099610,97;4408163,40;629691447,57;4408163,40;625283284,17;4408163,40
Подъезд к курорту Ургучан;1230910,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к н. п. Солонечный;2546633,00;54821,98;54821,98;519,59;54302,39;519,59;53782,80;519,59;53263,21;519,59;52743,62;519,59;52224,03;519,59;51704,44;519,59;51184,85;519,59;50665,26;519,59;50145,67;519,59;49626,08;519,59;49106,49;519,59;48586,90;519,59
Подъезд к п. Могойтуй;74942552,35;70423354,03;70423354,03;308874,36;70114479,67;308874,36;69805605,31;308874,36;69496730,95;308874,36;69187856,59;308874,36;68878982,23;308874,36;68570107,87;308874,36;68261233,51;308874,36;67952359,15;308874,36;67643484,79;308874,36;67334610,43;308874,36;67025736,07;308874,36;66716861,71;308874,36
Подъезд к п. Новоширокинский;5303116,00;178565,18;178565,18;5827,06;172738,12;5827,06;166911,06;5827,06;161084,00;5827,06;155256,94;5827,06;149429,88;5827,06;143602,82;5827,06;137775,76;5827,06;131948,70;5827,06;126121,64;5827,06;120294,58;5827,06;114467,52;5827,06;108640,46;5827,06
Подъезд к п. Песчанка;611634099,30;351991233,42;351991233,42;5000329,11;346990904,31;5000329,11;341990575,20;5000329,11;336990246,09;5000329,11;331989916,98;5000329,11;326989587,87;5000329,11;321989258,76;5000329,11;316988929,65;5000329,11;311988600,54;5000329,11;306988271,43;5000329,11;301987942,32;5000329,11;296987613,21;5000329,11;291987284,10;5000329,11
Подъезд к п. Пограничный;927100,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к п. ст. Адриановка;6803749,94;133245,16;133245,16;3939,13;129306,03;3939,13;125366,90;3939,13;121427,77;3939,13;117488,64;3939,13;113549,51;3939,13;109610,38;3939,13;105671,25;3939,13;101732,12;3939,13;97792,99;3939,13;93853,86;3939,13;89914,73;3939,13;85975,60;3939,13
Подъезд к п. ст. Жипхеген;2818840,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к пгт Амазар;49680422,22;5236966,36;5236966,36;413444,74;4823521,62;413444,74;4410076,88;413444,74;3996632,14;413444,74;3583187,40;413444,74;3169742,66;413444,74;2756297,92;413444,74;2342853,18;413444,74;1929408,44;413444,74;1515963,70;413444,74;1102518,96;413444,74;689074,22;413444,74;275629,48;275629,48
Подъезд к пгт Вершино-Дарасунский;17132157,35;97869,91;97869,91;3703,34;94166,57;1470,76;92695,81;1470,76;91225,05;1470,76;89754,29;1470,76;88283,53;1470,76;86812,77;1470,76;85342,01;1451,59;83890,42;1450,56;82439,86;1450,56;80989,30;1450,56;79538,74;1450,56;78088,18;1450,56
Подъезд к пгт Дровяная;18737550,00;216832,73;216832,73;10664,03;206168,70;10664,03;195504,67;10664,03;184840,64;10664,03;174176,61;10664,03;163512,58;10664,03;152848,55;10664,03;142184,52;10664,03;131520,49;10664,03;120856,46;10664,03;110192,43;10664,03;99528,40;10664,03;88864,37;10664,03
Подъезд к пгт Кокуй;1269250,00;15152,73;15152,73;1508,83;13643,90;1508,83;12135,07;1508,83;10626,24;1508,83;9117,41;1508,83;7608,58;1508,83;6099,75;1508,83;4590,92;1285,96;3304,96;386,50;2918,46;386,50;2531,96;386,50;2145,46;386,50;1758,96;386,50
Подъезд к пгт Новая Чара;3586029,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к пгт Орловский;35276978,46;11355419,05;11355419,05;159873,59;11195545,46;159873,59;11035671,87;159873,59;10875798,28;159873,59;10715924,69;159873,59;10556051,10;159873,59;10396177,51;159873,59;10236303,92;159873,59;10076430,33;159873,59;9916556,74;159873,59;9756683,15;159873,59;9596809,56;159873,59;9436935,97;159873,59
Подъезд к пгт Холбон;371208,00;106900,36;106900,36;1948,22;104952,14;1948,22;103003,92;1948,22;101055,70;1948,22;99107,48;1948,22;97159,26;1948,22;95211,04;1948,22;93262,82;1948,22;91314,60;1948,22;89366,38;1948,22;87418,16;1948,22;85469,94;1948,22;83521,72;1948,22
Подъезд к пгт Шерловая Гора;2563781,00;17516,58;17516,58;423,13;17093,45;423,13;16670,32;423,13;16247,19;423,13;15824,06;423,13;15400,93;423,13;14977,80;423,13;14554,67;423,13;14131,54;423,13;13708,41;423,13;13285,28;423,13;12862,15;423,13;12439,02;423,13
Подъезд к пгт. Дарасун;31857341,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
